2022-06-30,court,biden,supreme,trump,state
2022-07-01,trump,biden,court,abortion,state
2022-07-02,abortion,trump,state,court,women
2022-07-03,trump,abortion,gyamey,state,women
2022-07-04,july,america,park,parade,highland
2022-07-05,park,biden,highland,trump,shooting
2022-07-06,biden,johnson,trump,boris,state
2022-07-07,johnson,boris,trump,biden,minister
2022-07-08,abe,biden,abortion,court,twitter
2022-07-09,trump,biden,president,abortion,twitter
2022-07-10,trump,biden,abortion,committee,bannon
2022-07-11,biden,trump,bannon,president,house
2022-07-12,trump,jan,committee,biden,president
2022-07-13,inflation,biden,trump,abortion,house
2022-07-14,trump,biden,abortion,president,10
2022-07-15,biden,saudi,manchin,president,trump
2022-07-16,abortion,trump,biden,women,president
2022-07-17,biden,uvalde,trump,school,abortion
2022-07-18,trump,biden,house,state,washingtonpost
2022-07-19,trump,house,biden,bill,marriage
2022-07-20,trump,biden,marriage,bill,house
2022-07-21,trump,president,biden,house,jan
2022-07-22,trump,bannon,biden,jan,president
2022-07-23,trump,biden,state,president,men
2022-07-24,trump,white,biden,state,women
2022-07-25,trump,biden,men,president,sex
2022-07-26,trump,men,biden,sex,president
2022-07-27,biden,trump,manchin,bill,house
2022-07-28,biden,bill,house,trump,recession
2022-07-29,house,trump,biden,inflation,bill
2022-07-30,trump,biden,covid,president,positive
2022-07-31,bill,trump,russell,manchin,biden
2022-08-01,trump,biden,zawahiri,house,bill
2022-08-02,taiwan,pelosi,abortion,trump,biden
2022-08-03,trump,abortion,jones,election,taiwan
2022-08-04,trump,bill,biden,senate,sinema
2022-08-05,jobs,jones,bill,biden,china
2022-08-06,bill,vote,senate,inflation,reconciliation
2022-08-07,bill,senate,vote,tax,amendment
2022-08-08,trump,fbi,lago,mar,president
2022-08-09,trump,fbi,search,mar,lago
2022-08-10,trump,fbi,inflation,biden,president
2022-08-11,trump,fbi,search,warrant,garland
2022-08-12,trump,documents,fbi,search,house
2022-08-13,trump,documents,fbi,ha,rushdie
2022-08-14,trump,search,fbi,documents,violence
2022-08-15,trump,gop,fbi,election,president
2022-08-16,trump,biden,cheney,president,gop
2022-08-17,trump,cheney,gop,president,election
2022-08-18,trump,media,cnn,affidavit,judge
2022-08-19,trump,state,gop,biden,ukraine
2022-08-20,trump,biden,party,gop,media
2022-08-21,trump,biden,president,media,ukraine
2022-08-22,trump,documents,russia,election,president
2022-08-23,trump,twitter,biden,house,primary
2022-08-24,student,biden,trump,debt,loan
